Temp,xFeed_1,xFeed_2,xFeed_3,xFeed_4,xPhaseI_1,xPhaseI_2,xPhaseI_3,xPhaseI_4,xPhaseII_1,xPhaseII_2,xPhaseII_3,xPhaseII_4,nIter,calculationTime,isSinglePhase
297.5,0.3775,0.01,0.01,0.6025,0.37750000000001,0.0099999999999975,0.0100000000000002,0.602499999999992,0.377495311556182,0.0100012039400965,0.00999988638706505,0.602503598116656,6,3.198975,1
308.75,0.3775,0.01,0.01,0.6025,0.377500000000002,0.00999999999999956,0.01,0.602499999999999,0.377497669300148,0.0100005769867083,0.00999994764628986,0.602501806066853,6,3.1345458,1
320,0.3775,0.01,0.01,0.6025,0.3775,0.00999999999999992,0.01,0.6025,0.377498844119287,0.0100002785445116,0.00999997610134431,0.602500901234857,6,2.9213813,1
331.25,0.3775,0.01,0.01,0.6025,0.3775,0.00999999999999999,0.01,0.6025,0.377499430669318,0.0100001350346756,0.00999998929282586,0.602500445003181,6,2.787847,1
342.5,0.3775,0.01,0.01,0.6025,0.3775,0.01,0.01,0.6025,0.377499723126228,0.0100000656777266,0.00999999532754507,0.6025002158685,6,2.778731,1
353.75,0.3775,0.01,0.01,0.6025,0.3775,0.00999999999999999,0.01,0.6025,0.377498294195383,0.0100007834023451,0.00999995957522609,0.602500962827046,5,2.5677758,1
365,0.3775,0.01,0.01,0.6025,0.3775,0.01,0.01,0.6025,0.377499099930258,0.0100004211329478,0.00999998161094623,0.602500497325848,5,2.5415315,1
275,0.5,0.01,0.01,0.48,0.50000000000021,0.00999999999994879,0.0100000000000041,0.479999999999838,0.499994494586406,0.0100013447281438,0.00999989276459959,0.480004267920851,7,3.5089319,1
286.25,0.5,0.01,0.01,0.48,0.500000000000028,0.0099999999999929,0.0100000000000005,0.479999999999978,0.499997834584409,0.0100005426589587,0.00999995896115701,0.480001663795475,7,3.2956642,1
297.5,0.5,0.01,0.01,0.48,0.500000000000004,0.0099999999999989,0.0100000000000001,0.479999999999997,0.499999141008979,0.0100002259868581,0.00999998401217037,0.480000648991993,7,3.3872718,1
308.75,0.5,0.01,0.01,0.48,0.500000000000008,0.00999999999999766,0.0100000000000001,0.479999999999994,0.499995930548261,0.0100012163901265,0.00999992139935885,0.480002931662253,6,2.9588762,1
320,0.5,0.01,0.01,0.48,0.500000000000002,0.00999999999999956,0.01,0.479999999999999,0.499998062734476,0.0100005647897785,0.00999996598191864,0.480001406493827,6,3.0126419,1
331.25,0.5,0.01,0.01,0.48,0.5,0.00999999999999991,0.01,0.48,0.49999907770689,0.0100002647267327,0.00999998545013472,0.480000672116242,6,2.8695671,1
342.5,0.5,0.01,0.01,0.48,0.5,0.00999999999999998,0.01,0.48,0.499999562843516,0.010000124630435,0.00999999395384509,0.480000318572204,6,2.9238371,1
353.75,0.5,0.01,0.01,0.48,0.5,0.00999999999999994,0.01,0.48,0.499996556477733,0.0100011868546831,0.00999995082999092,0.480002305837593,5,2.6175434,1
365,0.5,0.01,0.01,0.48,0.5,0.00999999999999999,0.01,0.48,0.499998231176683,0.0100006268815235,0.00999997890310425,0.480001163038689,5,2.7117574,1
275,0.6225,0.01,0.01,0.3575,0.622500000000084,0.00999999999997382,0.0100000000000015,0.357499999999941,0.622498710369339,0.0100004027882568,0.00999997672058725,0.357500910121816,8,3.7957738,1
