Temp,xFeed_1,xFeed_2,xFeed_3,xPhaseI_1,xPhaseI_2,xPhaseI_3,xPhaseII_1,xPhaseII_2,xPhaseII_3,nIter,calculationTime,isSinglePhase
305,0.255,0.01,0.735,0.255000000000387,0.00999999999981357,0.7349999999998,0.254996396413883,0.0100017374586952,0.735001866127422,6,1.460639,1
312.5,0.255,0.01,0.735,0.255000000000074,0.00999999999996495,0.734999999999961,0.254998505492114,0.0100007094730405,0.735000785034846,6,1.5647567,1
320,0.255,0.01,0.735,0.255000000000016,0.00999999999999256,0.734999999999992,0.254999303902732,0.0100003252662112,0.735000370831057,6,1.4051121,1
327.5,0.255,0.01,0.735,0.255000000000004,0.00999999999999829,0.734999999999998,0.254999647830562,0.0100001618742745,0.735000190295164,6,1.4248114,1
335,0.255,0.01,0.735,0.255000000000001,0.00999999999999959,0.735,0.254999811874636,0.0100000862070322,0.735000101918332,6,1.3644842,1
342.5,0.255,0.01,0.735,0.255000000000006,0.00999999999999742,0.734999999999997,0.254997226040642,0.0100012216474387,0.735001552311919,5,1.3084413,1
350,0.255,0.01,0.735,0.255000000000002,0.00999999999999934,0.734999999999999,0.254998290498637,0.010000740475471,0.735000969025892,5,1.2657992,1
357.5,0.255,0.01,0.735,0.255,0.00999999999999983,0.735,0.254998912996724,0.0100004633122934,0.735000623690982,5,1.3250777,1
365,0.255,0.01,0.735,0.255,0.00999999999999996,0.735,0.254999290817577,0.0100002974991828,0.735000411683241,5,1.2405183,1
275,0.336666666666667,0.01,0.653333333333333,0.336666666666667,0.00999999999999993,0.653333333333333,0.336663768058711,0.0100012855963759,0.653334946344914,9,2.1781926,1
282.5,0.336666666666667,0.01,0.653333333333333,0.336666666666667,0.01,0.653333333333333,0.336665027608804,0.0100007166746633,0.653334255716533,8,1.7115965,1
290,0.336666666666667,0.01,0.653333333333333,0.336666666666667,0.01,0.653333333333333,0.336662902318463,0.0100016195796122,0.653335478101924,7,1.7162457,1
297.5,0.336666666666667,0.01,0.653333333333333,0.336666666666885,0.00999999999990747,0.653333333333208,0.336665761561335,0.0100003842802346,0.653333854158431,7,1.6888115,1
305,0.336666666666667,0.01,0.653333333333333,0.336666666666699,0.00999999999998644,0.653333333333315,0.336666374291586,0.010000123295179,0.653333502413235,7,1.7106998,1
312.5,0.336666666666667,0.01,0.653333333333333,0.336666666666786,0.00999999999995114,0.653333333333263,0.336664340221745,0.0100009561205834,0.653334703657672,6,1.4409552,1
320,0.336666666666667,0.01,0.653333333333333,0.336666666666692,0.00999999999998953,0.653333333333318,0.336665588623394,0.0100004370383659,0.65333397433824,6,1.4976062,1
327.5,0.336666666666667,0.01,0.653333333333333,0.336666666666673,0.00999999999999756,0.65333333333333,0.336666122227839,0.0100002175310874,0.653333660241074,6,1.39282,1
335,0.336666666666667,0.01,0.653333333333333,0.336666666666668,0.0099999999999994,0.653333333333332,0.336666375390477,0.0100001159961015,0.653333508613422,6,1.4377265,1
342.5,0.336666666666667,0.01,0.653333333333333,0.336666666666667,0.00999999999999985,0.653333333333333,0.336666500905576,0.0100000647018756,0.653333434392548,6,1.3641291,1
350,0.336666666666667,0.01,0.653333333333333,0.336666666666669,0.00999999999999904,0.653333333333332,0.336664152288899,0.0100009493312117,0.653334898379889,5,1.3170208,1
357.5,0.336666666666667,0.01,0.653333333333333,0.336666666666667,0.00999999999999975,0.653333333333333,0.33666506375873,0.010000596846317,0.653334339394953,5,1.2866965,1
365,0.336666666666667,0.01,0.653333333333333,0.336666666666667,0.00999999999999994,0.653333333333333,0.336665617357888,0.0100003853848261,0.653333997257286,5,1.38958,1
275,0.418333333333333,0.01,0.571666666666667,0.418333333333333,0.00999999999999999,0.571666666666667,0.418332792478514,0.0100002190354416,0.571666988486044,10,2.1054203,1
282.5,0.418333333333333,0.01,0.571666666666667,0.418333333333333,0.00999999999999999,0.571666666666667,0.418330206583709,0.0100012490331813,0.57166854438311,8,1.9077755,1
