Temp,xFeed_1,xFeed_2,xFeed_3,xFeed_4,xFeed_5,xPhaseI_1,xPhaseI_2,xPhaseI_3,xPhaseI_4,xPhaseI_5,xPhaseII_1,xPhaseII_2,xPhaseII_3,xPhaseII_4,xPhaseII_5,nIter,calculationTime,isSinglePhase
300.714285714286,0.85,0.01,0.01,0.01,0.12,0.850000000000029,0.00999999999998556,0.00999999999999907,0.00999999999999652,0.11999999999999,0.849998923804047,0.0100005322791077,0.0100000341725764,0.0100001283660385,0.12000038137823,7,6.2544818,1
313.571428571429,0.85,0.01,0.01,0.01,0.12,0.850000000000043,0.00999999999997754,0.00999999999999837,0.00999999999999453,0.119999999999986,0.849996719103238,0.0100017097252932,0.0100001237788157,0.010000416593811,0.120001030798842,6,5.4272229,1
326.428571428571,0.85,0.01,0.01,0.01,0.12,0.850000000000005,0.00999999999999714,0.00999999999999977,0.0099999999999993,0.119999999999999,0.849999175131777,0.0100004589843293,0.0100000372582203,0.0100001125263668,0.120000216099306,6,5.2489794,1
339.285714285714,0.85,0.01,0.01,0.01,0.12,0.850000000000001,0.00999999999999959,0.00999999999999996,0.0099999999999999,0.12,0.849999757967014,0.010000145594741,0.0100000132418487,0.0100000359941385,0.120000047202258,6,5.2706105,1
352.142857142857,0.85,0.01,0.01,0.01,0.12,0.850000000000002,0.00999999999999848,0.00999999999999984,0.00999999999999962,0.12,0.849998032356228,0.0100012967609473,0.0100001322237596,0.01000032489743,0.120000213761635,5,4.8248818,1
365,0.85,0.01,0.01,0.01,0.12,0.85,0.00999999999999975,0.00999999999999997,0.00999999999999994,0.12,0.849999243334512,0.010000560812759,0.0100000634481636,0.0100001411590104,0.119999991245556,5,4.6548626,1
275,0.01,0.15,0.01,0.01,0.82,0.0104047529458355,0.11726162495753,0.0104027385902789,0.0102654788258529,0.851665404680502,0.000198325065815057,0.942806854999792,0.000247105583833512,0.00357104826612699,0.0531766660844322,10,8.0420832,0
287.857142857143,0.01,0.15,0.01,0.01,0.82,0.0100538082420815,0.145654824664364,0.0100533166547859,0.0100352810787926,0.824202769359976,0.000324795094245841,0.931301527376176,0.000413186902446847,0.00365614535228022,0.0643043452748511,12,9.5849686,0
300.714285714286,0.01,0.15,0.01,0.01,0.82,0.0100000020127628,0.149999839605533,0.0100000019698214,0.010000001151851,0.820000155260032,0.000679256662127918,0.892757997255393,0.000878110396381044,0.0046659844848737,0.101018651201224,19,13.4728337,1
313.571428571429,0.01,0.15,0.01,0.01,0.82,0.0100000000004403,0.149999999977174,0.0100000000002488,0.00999999999973755,0.8200000000224,0.00999859122845613,0.150073037857225,0.00999920403156359,0.0100008397884244,0.819928327094331,37,26.3411719,1
326.428571428571,0.01,0.15,0.01,0.01,0.82,0.0100000000004497,0.149999999974813,0.0100000000002227,0.00999999999970765,0.820000000024807,0.0099993218730649,0.150037978769815,0.00999966420944476,0.0100004408189056,0.81996259432877,24,17.4550543,1
339.285714285714,0.01,0.15,0.01,0.01,0.82,0.0100000000000545,0.149999999996672,0.0100000000000223,0.00999999999996097,0.82000000000329,0.00999930346579333,0.150042529937167,0.00999971441972865,0.0100004987504108,0.8199579534269,19,13.6001441,1
352.142857142857,0.01,0.15,0.01,0.01,0.82,0.01,0.149999999999998,0.01,0.00999999999999997,0.820000000000002,0.00999927558881151,0.150048778623804,0.00999977992841409,0.0100005784558336,0.819951587403137,16,11.707057,1
365,0.01,0.15,0.01,0.01,0.82,0.0100000000000167,0.149999999998741,0.0100000000000028,0.00999999999998488,0.820000000001255,0.00999974148962286,0.150019477051577,0.0099999566462232,0.0100002337855873,0.81998059102699,15,11.3552415,1
275,0.15,0.15,0.01,0.01,0.68,0.159587282738375,0.0977353319479611,0.0106363090312266,0.0104319460463796,0.721609130236058,0.00259309003177273,0.953582561222353,0.000216586843470277,0.00335871970115747,0.0402490422012463,8,6.1434187,0
287.857142857143,0.15,0.15,0.01,0.01,0.68,0.15468759983354,0.124481388028672,0.010309923313112,0.0102108699833699,0.700310218841307,0.0042689473064187,0.943338663264799,0.000364909062644202,0.00344434129421585,0.0485831390719226,10,7.8794773,0
300.714285714286,0.15,0.15,0.01,0.01,0.68,0.150000371511329,0.149997981793985,0.0100000243863559,0.0100000162122467,0.680001606096083,0.0072519537795099,0.925467510937704,0.000629882900714256,0.00377067032231368,0.0628799820597577,12,9.1328643,1
313.571428571429,0.15,0.15,0.01,0.01,0.68,0.150000156631468,0.149999166889856,0.010000009971719,0.0100000050557157,0.680000661451241,0.0197747485137242,0.842657609821596,0.00170939512617787,0.00579661831699457,0.130061628221507,44,27.5251654,1
326.428571428571,0.15,0.15,0.01,0.01,0.68,0.150000000005431,0.149999999978496,0.0100000000001715,0.00999999999974984,0.680000000016152,0.1499880649539,0.150047255623357,0.00999962317056407,0.0100005497320553,0.679964506520123,27,19.729433,1
339.285714285714,0.15,0.15,0.01,0.01,0.68,0.150000000000804,0.149999999996569,0.0100000000000209,0.00999999999995992,0.680000000002646,0.149988837447543,0.150047625705165,0.00999970967663714,0.0100005564394079,0.679963270731247,20,14.6422066,1
